Rock_Type,F_ppm,Cl_ppm,Br_ppb,I_ppb
metasediment,495,20,1,0.03
metasediment,780,6,9,0.3
metasediment,302,18,1,0.1
forearc serpentinite,,420,2700,6200
forearc serpentinite,,1000,8200,45000
forearc serpentinite,,1200,8200,35000
forearc serpentinite,,630,5100,18000
forearc serpentinite,,2300,24000,9400
forearc serpentinite,,1100,5700,2100
forearc serpentinite,,1100,8400,5200
forearc serpentinite,,990,7200,6900
forearc serpentinite,101,612,1300,200
forearc serpentinite,60,666,970,80
forearc serpentinite,72,729,1100,58
forearc serpentinite,51,785,1100,116
forearc serpentinite,52,876,1300,110
forearc serpentinite,102,525,600,130
forearc serpentinite,36,856,1400,180
forearc serpentinite,65,739,1300,140
forearc serpentinite,96,365,790,70
forearc serpentinite,66,488,1500,170
forearc serpentinite,59,360,600,80
forearc serpentinite,13,363,671,120
Blueschist,588,17,159,169
Blueschist,504,18,226,185
Blueschist,387,15,111,143
Blueschist,289,13,93,147
Blueschist,583,10,151,150
Blueschist,215,10,75,135
Blueschist,560,21,124,442
Blueschist,359,69,554,43
Blueschist,441,26,169,18
Blueschist,294,28,353,53
Blueschist,342,21,238,15
Blueschist,373,18,122,71
Blueschist,580,19,92,10
Blueschist,250,27,158,54
Blueschist,309,17,55,39
Blueschist,298,17,126,22
Blueschist,434,29,111,125
Blueschist,573,38,141,171
Blueschist,537,37,125,172
Blueschist,493,34,105,126
Blueschist,332,29,195,36
Blueschist,347,37,282,42
Blueschist,254,22,123,68
Blueschist,486,30,170,80
Blueschist,561,33,127,182
Blueschist,268,23,80,57
Blueschist,361,26,142,76
Blueschist,339,36,293,77
Blueschist,306,25,142,101
Blueschist,535,36,137,68
Blueschist,578,37,94,379
Blueschist,380,19,109,233
Blueschist,568,37,143,182
Blueschist,533,33,112,198
Blueschist,389,25,114,39
Blueschist,399,22,182,82
Blueschist,382,33,329,62
Blueschist,513,25,119,96
Blueschist,370,29,120,111
Blueschist,493,28,114,123
Blueschist,354,33,138,115
Blueschist,312,23,101,99
Blueschist,335,30,99,70
Blueschist,546,25,113,175
Blueschist,559,40,117,150
Blueschist,550,42,130,114
Blueschist,469,32,123,104
Blueschist,469,35,118,100
Blueschist,547,39,145,134
Blueschist,403,43,137,88
Blueschist,551,44,128,163
Blueschist,351,38,124,84
Blueschist,537,40,312,102
Blueschist,328,19,89,63
Blueschist,394,28,113,72
Blueschist,343,32,178,43
Blueschist,304,32,104,87
Blueschist,300,30,127,80
Blueschist,428,34,115,131
Blueschist,399,39,156,103
Blueschist,356,36,138,98
Blueschist,321,35,106,65
Blueschist,297,36,111,96
Blueschist,386,34,140,88
Blueschist,498,34,112,123
Blueschist,316,35,109,106
Blueschist,420,33,129,106
Blueschist,380,35,112,107
Blueschist,397,34,103,123
Blueschist,411,25,110,104
Blueschist,484,21,140,128
Blueschist,478,23,111,104
Blueschist,415,26,141,94
Blueschist,322,19,102,38
Blueschist,356,21,128,80
Blueschist,217,20,106,87
Blueschist,439,21,164,95
Blueschist,334,18,100,82
Blueschist,330,23,137,127
Blueschist,427,20,192,153
Blueschist,332,15,109,100
Blueschist,373,24,88,86
Blueschist,256,24,96,50
Blueschist,474,24,113,131
Blueschist,303,21,95,65
Blueschist,213,27,99,57
Blueschist,236,28,129,51
Blueschist,530,42,163,88
Blueschist,498,33,120,225
Blueschist,330,29,123,27
Blueschist,323,20,85,88
Blueschist,320,18,108,47
Blueschist,278,23,105,52
Blueschist,394,28,155,64
Blueschist,355,21,85,38
Blueschist,412,27,112,160
Blueschist,365,29,109,38
Blueschist,318,19,129,34
Blueschist,394,25,103,94
Blueschist,87,23,61,65
Blueschist,75,21,69,66
Blueschist,149,30,98,63
Blueschist,79,15,103,81
Blueschist,393,28,94,78
Blueschist,406,28,83,117
Blueschist,380,28,81,83
Blueschist,512,29,141,133
Blueschist,529,41,126,121
Blueschist,395,14,115,125
Blueschist,281,28,131,94
Blueschist,350,27,118,107
Blueschist,437,25,114,120
Blueschist,294,16,85,117
Blueschist,400,23,98,46
Blueschist,245,19,109,43
Blueschist,300,22,87,61
Blueschist,369,16,111,135
Blueschist,399,35,409,202
Blueschist,400,51,116,33
Blueschist,400,52,117,38
Blueschist,374,25,104,37
Blueschist,424,31,185,92
Blueschist,366,53,378,128
Blueschist,419,22,108,113
Blueschist,353,39,323,140
Blueschist,410,23,99,128
Blueschist,482,37,141,64
Blueschist,379,20,127,120
Blueschist,329,24,83,34
Blueschist,347,22,101,36
