stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
AOC,1,1,6,78,312,240,190
AOC,1,1,6,42,110,100,47
AOC,1,1,6,21,9,57,45
AOC,1,1,6,36,6,75,51
AOC,1,1,6,89,393,345,30
AOC,1,1,6,120,334,171,23
AOC,1,1,6,120,37,118,22
AOC,1,1,6,149,29,2171,155
AOC,1,1,6,30,100,,
AOC,1,1,6,59,238,272,116
AOC,1,1,6,25,200,,
AOC,1,1,6,78,625,672,179
AOC,1,1,6,48,14,,
AOC,1,1,6,70,7,,
AOC,1,1,6,442,25,,
AOC,1,1,6,174,56,123,51
AOC,1,1,6,190,48,,
AOC,1,1,6,190,11,147,103
AOC,1,1,6,179,24,,
AOC,1,1,6,198,20,,
AOC,1,1,6,94,14,115,88
AOC,1,1,6,140,686,1230,71
AOC,1,1,6,42,307,852,11
AOC,1,1,6,259,841,1448,125
AOC,1,1,6,35,426,1042,4
AOC,1,1,6,136,219,503,32
AOC,1,1,6,114,31,78,4
AOC,1,1,6,54,64,160,2
AOC,1,1,6,80,144,474,894
AOC,1,1,6,,274,643,8
AOC,1,1,6,,306,750,77
AOC,1,1,6,67,23,74,3
AOC,1,1,6,117,90,290,105
AOC,1,1,6,85,35,110,10
AOC,1,1,6,66,26,93,4
AOC,1,1,6,136,161,527,1812
AOC,1,1,6,33,25,69,18
AOC,1,1,6,53,32,82,91
AOC,1,1,6,137,339,1125,1944
AOC,1,1,6,28,26,87,3
AOC,1,1,6,70,149,504,1913
AOC,1,1,6,106,36,113,762
AOC,1,1,6,38,15,44,1
AOC,1,1,6,54,42,127,35
AOC,1,1,6,33,31,101,5
AOC,1,1,6,24,28,77,2
AOC,1,1,6,37,65,228,23
AOC,1,1,6,20,20,69,8
AOC,1,1,6,69,19,59,4
AOC,1,1,6,34,30,81,3
AOC,1,1,6,26,28,91,2
AOC,1,1,6,24,27,102,2
AOC,1,1,6,70,42,140,188
AOC,1,1,6,43,24,61,1
AOC,1,1,6,78,155,524,760
AOC,1,1,6,116,124,426,2486
AOC,1,1,6,80,132,449,938
AOC,1,1,6,,344,898,9
AOC,1,1,6,57,73,249,17
AOC,1,1,6,58,19,53,2
AOC,1,1,6,262,817,1014,159
AOC,1,1,6,25,40,94,3
AOC,1,1,6,240,235,624,15
AOC,1,1,6,241,130,346,14
AOC,1,1,6,194,141,398,6
AOC,1,1,6,251,149,329,6
AOC,1,1,6,296,616,1840,15
AOC,1,1,6,265,300,755,8
AOC,1,1,6,225,149,425,9
AOC,1,1,6,235,330,780,7
AOC,1,1,6,229,334,990,9
AOC,1,1,6,218,528,1356,13
AOC,1,1,6,236,203,543,7
AOC,1,1,6,281,737,2155,14
AOC,1,1,6,167,210,451,9
AOC,1,1,6,202,645,1538,25
AOC,1,1,6,245,380,1141,9
AOC,1,1,6,262,499,541,14
AOC,1,1,6,271,781,954,8
AOC,1,1,6,126,1622,2724,12
AOC,1,1,6,,30,86,8
AOC,1,1,6,,11,24,478
AOC,1,1,6,,16,93,22
AOC,1,1,6,,14,59,250
AOC,1,1,6,,135,393,38
AOC,1,1,6,,237,785,1
AOC,1,1,6,,55,144,1
AOC,1,1,6,,41,124,1
AOC,1,1,6,,,815,2
AOC,1,1,6,,191,643,38
AOC,1,1,6,,200,373,6
AOC,1,1,6,,198,460,1
AOC,1,1,6,,,341,2
AOC,1,1,6,,126,298,1
AOC,1,1,6,,106,87,1
AOC,1,1,6,,346,696,1
AOC,1,1,6,,193,360,1
AOC,1,1,6,,582,1490,2
AOC,1,1,6,,875,2484,5
